CAS_Reg,Param,ParamGroup,USGSPCode
NULL,"Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites",NULL,90863
NULL,"Benzene, 1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]-",NULL,49347
NULL,"Benzene, pentachloromethoxy-",NULL,49460
NULL,"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-",NULL,NULL
NULL,"Benzeneethanamine, .alpha.-methyl-, (.alpha.S)-, sulfate (2:1)",NULL,NULL
NULL,"Benzenemethanol, .alpha.-[(1R)-1-aminoethyl]-, hydrochloride (1:1), (.alpha.S)-rel-",NULL,NULL
NULL,"Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, (.alpha.S)-",NULL,NULL
NULL,Benzidine,NULL,NULL
NULL,Benzo(b)fluoranthene,NULL,NULL
NULL,Benzo(b)fluoranthene,NULL,34230
NULL,Benzo(b)fluoranthene,NULL,34233
NULL,Benzo(b)fluoranthene,NULL,49458
NULL,Benzo[a]pyrene,NULL,NULL
NULL,Benzo[a]pyrene,NULL,34247
NULL,Benzo[a]pyrene,NULL,34248
NULL,Benzo[a]pyrene,NULL,34250
NULL,Benzo[a]pyrene,NULL,49389
NULL,Benzo[c]cinnoline,NULL,49468
NULL,Benzo[e]pyrene,NULL,NULL
NULL,Benzo[ghi]perylene,NULL,NULL
NULL,Benzo[ghi]perylene,NULL,34521
NULL,Benzo[ghi]perylene,NULL,34524
NULL,Benzo[ghi]perylene,NULL,49408
NULL,Benzo[k]fluoranthene,NULL,NULL
NULL,Benzo[k]fluoranthene,NULL,34242
NULL,Benzo[k]fluoranthene,NULL,34245
NULL,Benzo[k]fluoranthene,NULL,49397
NULL,Benzoic acid,NULL,NULL
NULL,Benzophenone,NULL,NULL
NULL,Benzophenone,NULL,62067
NULL,Benzophenone,NULL,62814
NULL,Benzoylecgonine hydrate,NULL,NULL
NULL,Benzoylecgonine-D3,NULL,NULL
NULL,Benzphetamine hydrochloride,NULL,NULL
NULL,Benzyl alcohol,NULL,NULL
NULL,Beryllium,NULL,NULL
NULL,Beryllium,NULL,01010
NULL,Beryllium,NULL,01011
NULL,Beryllium,NULL,01012
NULL,Beryllium,NULL,01013
NULL,Beryllium,NULL,04046
NULL,Beryllium,NULL,29822
NULL,Beryllium,NULL,34810
NULL,Beryllium,NULL,34812
NULL,Beta Cypermethrin,NULL,61586
NULL,Beta particle,NULL,NULL
NULL,Beta particle,NULL,03501
NULL,Beta particle,NULL,03503
NULL,Beta particle,NULL,03505
NULL,Beta particle,NULL,03515
NULL,Beta particle,NULL,03516
NULL,Beta particle,NULL,03519
NULL,Beta particle,NULL,49964
NULL,Beta particle,NULL,49965
NULL,Beta particle,NULL,62642
NULL,Beta particle,NULL,62643
NULL,Beta particle,NULL,62645
NULL,Beta particle,NULL,62646
NULL,Beta particle,NULL,63015
NULL,Beta particle,NULL,63017
NULL,Beta particle,NULL,75988
NULL,Beta particle,NULL,75989
NULL,Beta particle,NULL,76005
NULL,Beta particle,NULL,80050
NULL,Beta particle,NULL,80060
NULL,Beta particle,NULL,99323
NULL,Bezafibrate,NULL,NULL
NULL,Bicarbonate,NULL,NULL
NULL,Bicarbonate,NULL,00425
NULL,Bicarbonate,NULL,00440
NULL,Bicarbonate,NULL,00450
NULL,Bicarbonate,NULL,00451
NULL,Bicarbonate,NULL,00453
NULL,Bicarbonate,NULL,29804
NULL,Bicarbonate,NULL,29805
NULL,Bicarbonate,NULL,29806
NULL,Bicarbonate,NULL,63786
NULL,Bicarbonate,NULL,90440
NULL,Bicarbonate,NULL,95440
NULL,Bicarbonate,NULL,99440
NULL,Bicarbonate,"Inorganics, Major, Non-metals",NULL
NULL,"Biochemical oxygen demand, non-standard conditions",NULL,00324
NULL,"Biochemical oxygen demand, standard conditions",NULL,NULL
NULL,"Biochemical oxygen demand, standard conditions",NULL,00310
NULL,"Biomass, periphyton",NULL,NULL
NULL,"Biomass, periphyton",NULL,00572
NULL,"Biomass, periphyton",NULL,00573
NULL,"Biomass, periphyton",NULL,49954
NULL,Biphenyl,NULL,NULL
NULL,Bis(2-chloro-1-methylethyl) ether,NULL,NULL
NULL,Bis(2-chloroethoxy)methane,NULL,NULL
NULL,Bis(2-chloroethoxy)methane,NULL,34278
NULL,Bis(2-chloroethoxy)methane,NULL,34281
NULL,Bis(2-chloroethoxy)methane,NULL,49401
NULL,Bis(2-chloroethyl) ether,NULL,NULL
NULL,Bis(2-chloroethyl) ether,NULL,34273
NULL,Bis(2-chloroethyl) ether,NULL,34276
NULL,Bis(2-chloroethyl) ether,NULL,49456
NULL,Bis(2-chloroisopropyl) ether,NULL,NULL
NULL,Bis(2-chloroisopropyl) ether,NULL,34283
NULL,Bis(2-chloroisopropyl) ether,NULL,34286
NULL,Bismuth,NULL,NULL
NULL,Bismuth,NULL,01015
NULL,Bismuth,NULL,01017
NULL,Bismuth,NULL,04047
NULL,Bismuth,NULL,34815
NULL,Bismuth,NULL,34816
NULL,Bismuth,NULL,34817
NULL,Bismuth-212,NULL,NULL
NULL,Bismuth-214,NULL,NULL
NULL,boron,NULL,NULL
NULL,Boron,NULL,00999
NULL,Boron,NULL,01020
NULL,Boron,NULL,01021
NULL,Boron,NULL,01022
NULL,Boron,NULL,01023
NULL,Bromacil,NULL,NULL
NULL,Bromacil,NULL,04029
NULL,Bromacil,NULL,30234
NULL,Brombuterol hydrochloride,NULL,NULL
NULL,Bromide,NULL,NULL
NULL,Bromide,NULL,71870
NULL,bromide,NULL,91000
NULL,Bromine,NULL,NULL
NULL,bromine,NULL,71871
NULL,Bromoacetic acid,NULL,NULL
NULL,Bromobenzene,NULL,NULL
NULL,Bromobenzene,NULL,81555
NULL,Bromochloroacetic acid,NULL,NULL
NULL,Bromoxynil,NULL,NULL
NULL,Bromoxynil,NULL,49311
NULL,Bromoxynil-13C6,NULL,NULL
NULL,Bupropion,NULL,NULL
NULL,Butachlor,NULL,NULL
NULL,Butachlor,NULL,30235
NULL,Butachlor ESA,NULL,NULL
NULL,Butalbital,NULL,NULL
NULL,Butyl benzyl phthalate,NULL,NULL
NULL,Butyl benzyl phthalate,NULL,34292
NULL,Butyl benzyl phthalate,NULL,34295
NULL,Butyl benzyl phthalate,NULL,49427
NULL,Butylate,NULL,NULL
NULL,Butylate,NULL,04028
NULL,Butylate,NULL,30236
NULL,Butylated hydroxyanisole,NULL,NULL
NULL,Butylparaben,NULL,NULL
NULL,C12 Hydrocarbons,NULL,NULL
NULL,C1-C3 Fluorenes,NULL,NULL
NULL,C1-C4 Chrysenes,NULL,NULL
NULL,C1-C4 Fluoranthenes,NULL,NULL
NULL,C1-C4 Phenanthrenes,NULL,NULL
NULL,C28 Hydrocarbons,NULL,NULL
NULL,Cacodylic acid,NULL,62455
NULL,Cadmium,NULL,NULL
NULL,Cadmium,NULL,01025
NULL,Cadmium,NULL,01026
NULL,Cadmium,NULL,01027
NULL,Cadmium,NULL,01028
NULL,Cadmium,NULL,04049
NULL,Cadmium,NULL,29826
NULL,Cadmium,NULL,34825
NULL,Cadmium,NULL,34827
NULL,Caffeine,NULL,NULL
NULL,Caffeine,NULL,50305
NULL,Caffeine,NULL,81436
NULL,Caffeine-trimethyl-13C3,NULL,NULL
NULL,Calcium,NULL,NULL
NULL,Calcium,NULL,00910
NULL,Calcium,NULL,00915
NULL,Calcium,NULL,00916
NULL,Calcium,NULL,00917
NULL,Calcium,NULL,04050
NULL,Calcium,NULL,34830
NULL,Calcium,NULL,34832
NULL,Calcium,NULL,82938
NULL,calcium,NULL,91051
NULL,Calcium as CaCO3,NULL,NULL
NULL,Calcium carbonate as CaCO3,NULL,NULL
NULL,Camphor,NULL,NULL
NULL,Camphor,NULL,62070
NULL,Camphor,NULL,62817
NULL,Cannabidiol,NULL,NULL
NULL,Cannabinol,NULL,NULL
NULL,Caprolactam,NULL,NULL
NULL,Carbamazepine,NULL,NULL
NULL,Carbamazepine-d10,NULL,NULL
NULL,Carbaryl,NULL,NULL
NULL,Carbaryl,NULL,39750
NULL,Carbaryl,NULL,49310
NULL,Carbaryl,NULL,82680
NULL,Carbazole,NULL,NULL
NULL,Carbazole,NULL,49449
NULL,Carbazole,NULL,62071
NULL,Carbazole,NULL,77571
NULL,Carbofuran,NULL,NULL
NULL,Carbofuran,NULL,49309
NULL,Carbofuran,NULL,82615
NULL,Carbofuran,NULL,82674
NULL,Carbofuran-D3,NULL,NULL
NULL,Carbon,NULL,NULL
NULL,Carbon dioxide,NULL,NULL
NULL,Carbon dioxide,NULL,00405
NULL,Carbon disulfide,NULL,NULL
NULL,Carbon disulfide,NULL,77041
NULL,Carbon tetrachloride,NULL,NULL
NULL,Carbon tetrachloride,NULL,32102
NULL,Carbon-13/Carbon-12 ratio,NULL,82081
NULL,"Carbon-13/carbon-12, ratio",NULL,NULL
NULL,Carbon-14,NULL,NULL
NULL,Carbon-14,NULL,49933
NULL,Carbon-14,NULL,49934
NULL,Carbon-14,NULL,82172
NULL,"Carbonaceous biochemical oxygen demand, non-standard conditions",NULL,00320
NULL,"Carbonaceous biochemical oxygen demand, standard conditions",NULL,NULL
NULL,"Carbonaceous biochemical oxygen demand, standard conditions",NULL,80082
NULL,Carbonate,NULL,NULL
NULL,Carbonate,"Inorganics, Major, Non-metals",NULL
NULL,Carbonate,"Inorganics, Major, Non-metals",00445
NULL,Carbonate,"Inorganics, Major, Non-metals",00447
NULL,Carbonate,"Inorganics, Major, Non-metals",00452
NULL,Carbonate,"Inorganics, Major, Non-metals",29807
NULL,Carbonate,"Inorganics, Major, Non-metals",29808
NULL,Carbonate,"Inorganics, Major, Non-metals",29809
NULL,Carbonate,"Inorganics, Major, Non-metals",90445
NULL,Carbonate,"Inorganics, Major, Non-metals",95445
NULL,Carbonate,"Inorganics, Major, Non-metals",99445
NULL,Carbonate (CO3),NULL,00430
NULL,Carbonate (CO3),NULL,00445
NULL,Carbonate (CO3),NULL,00452
NULL,Carbonate (CO3),NULL,29807
NULL,Carbonate (CO3),NULL,63788
NULL,Carbonate (CO3),NULL,99430
NULL,Carbonate as CaCO3,NULL,NULL
NULL,Carbophenothion,NULL,NULL
NULL,Carbophenothion,NULL,39786
NULL,Carbophenothion,NULL,39787
NULL,Carbophenothion,NULL,82342
NULL,Carbophenothion-methyl,NULL,39790
NULL,Carbophenothion-methyl,NULL,39791
NULL,Carbophenothion-methyl,NULL,82344
NULL,Carboxin,NULL,30245
NULL,Carisoprodol,NULL,NULL
NULL,Cation Total,NULL,NULL
NULL,Cations-Anions,NULL,NULL
NULL,Cerium,NULL,NULL
NULL,Cerium,NULL,01110
NULL,Cerium,NULL,01112
NULL,Cerium,NULL,04051
NULL,Cerium,NULL,34835
NULL,Cerium,NULL,34837
NULL,Cesium,NULL,NULL
NULL,Cesium,NULL,01115
NULL,Cesium,NULL,01117
NULL,Cesium-134,NULL,NULL
NULL,Cesium-137,NULL,NULL
NULL,Cesium-137,NULL,28403
NULL,CFC-11,NULL,NULL
NULL,CFC-11,NULL,34488
NULL,CFC-11,NULL,50281
NULL,CFC-113,NULL,NULL
NULL,CFC-113,NULL,50283
NULL,CFC-113,NULL,77652
NULL,CFC-12,NULL,NULL
NULL,CFC-12,NULL,34668
NULL,CFC-12,NULL,50282
NULL,Charge Balance,NULL,NULL
NULL,Chemical oxygen demand,NULL,NULL
NULL,"Chemical oxygen demand, (high level)",NULL,00340
NULL,"Chemical oxygen demand, (low level)",NULL,00335
NULL,Chloramben-methyl,NULL,61188
NULL,Chloramphenicol,NULL,NULL
NULL,Chlordane,NULL,NULL
NULL,"Chlordane, technical",NULL,39350
NULL,"Chlordane, technical",NULL,39351
NULL,"Chlordane, technical",NULL,39352
NULL,"Chlordane, technical, and/or chlordane metabolites",NULL,39353
NULL,"Chlordane, technical, and/or chlordane metabolites",NULL,90864
NULL,Chlordecone,NULL,NULL
NULL,Chlordiazepoxide hydrochloride,NULL,NULL
NULL,Chloride,NULL,NULL
NULL,Chloride,NULL,00940
NULL,Chloride,NULL,70290
NULL,chloride,NULL,91001
NULL,Chloride,NULL,99220
NULL,Chlorimuron-ethyl,NULL,NULL
NULL,Chlorimuron-ethyl,NULL,50306
NULL,Chlorinated naphthalenes,NULL,39250
NULL,Chlorinated naphthalenes,NULL,39251
NULL,Chlorinated naphthalenes,NULL,82360
NULL,Chlorine,NULL,NULL
NULL,Chlorine,NULL,50060
NULL,Chlorine,NULL,50064
NULL,Chloroacetic acid,NULL,NULL
NULL,Chlorobenzene,NULL,NULL
NULL,Chlorobenzene,NULL,34301
NULL,Chlorodibromomethane,NULL,NULL
NULL,Chlorodibromomethane,NULL,32105
NULL,Chloroethane,NULL,NULL
NULL,Chloroethane,NULL,34311
NULL,Chloroform,NULL,NULL
NULL,Chloroform,NULL,32106
NULL,Chloromethane,NULL,NULL
NULL,Chloromethane,NULL,34418
NULL,Chloroneb,NULL,49322
NULL,Chlorophyll a,NULL,NULL
NULL,Chlorophyll a,NULL,32228
NULL,Chlorophyll a,NULL,32230
NULL,Chlorophyll a,NULL,70951
NULL,Chlorophyll a,NULL,70953
NULL,Chlorophyll a,NULL,70955
NULL,Chlorophyll a,NULL,70957
NULL,"Chlorophyll a, free of pheophytin",NULL,NULL
NULL,"Chlorophyll a, uncorrected for pheophytin",NULL,NULL
NULL,Chlorophyll b,NULL,NULL
NULL,Chlorophyll b,NULL,32226
NULL,Chlorophyll b,NULL,32231
NULL,Chlorophyll b,NULL,70952
NULL,Chlorophyll b,NULL,70954
NULL,Chlorophyll b,NULL,70956
NULL,Chlorophyll b,NULL,70958
NULL,Chlorophyll c,NULL,NULL
NULL,Chloroprene,NULL,NULL
NULL,Chlorothalonil,NULL,NULL
NULL,Chlorothalonil,NULL,49306
NULL,Chlorotoluene,NULL,NULL
NULL,Chlorpheniramine,NULL,NULL
NULL,Chlorpyrifos,NULL,NULL
NULL,Chlorpyrifos,NULL,38932
NULL,Chlorpyrifos,NULL,38933
NULL,Chlorthal-dimethyl,NULL,NULL
NULL,Chlorthal-dimethyl,NULL,49324
NULL,Chlorthal-dimethyl,NULL,82682
NULL,Chlorthal-Monomethyl,NULL,NULL
NULL,"Cholestan-3-ol, (3.beta.,5.beta.)-",NULL,62057
NULL,"Cholestan-3-ol, (3.beta.,5.beta.)-",NULL,62806
NULL,Cholesterol,NULL,NULL
NULL,Cholesterol,NULL,62072
NULL,Cholesterol,NULL,62818
NULL,Chromium,NULL,NULL
NULL,Chromium,NULL,01029
NULL,Chromium,NULL,01030
NULL,Chromium,NULL,01031
NULL,Chromium,NULL,01034
NULL,Chromium,NULL,04052
NULL,Chromium,NULL,29829
NULL,Chromium,NULL,34840
NULL,Chromium,NULL,34842
NULL,Chromium(III),NULL,NULL
NULL,Chromium(VI),NULL,NULL
NULL,Chromium(VI),NULL,01032
NULL,Chrysene,NULL,NULL
NULL,Chrysene,NULL,34320
NULL,Chrysene,NULL,34323
NULL,Chrysene,NULL,49450
NULL,Chrysene-d12,NULL,NULL
NULL,Cimetidine,NULL,NULL
NULL,cis-(-)-2-[(Dimethylamino)methyl]-1[3-methoxyphenyl]-cyclohexanol,NULL,NULL
NULL,"cis-1,2-Dichloroethylene",NULL,NULL
NULL,"cis-1,2-Dichloroethylene",NULL,77093
NULL,"cis-1,3-Dichloropropene",NULL,NULL
NULL,"cis-1,3-Dichloropropene",NULL,34704
NULL,cis-Chlordane,NULL,NULL
NULL,cis-Chlordane,NULL,49320
NULL,cis-Nonachlor,NULL,NULL
NULL,cis-Nonachlor,NULL,49316
NULL,Clenbuterol,NULL,NULL
NULL,Clobazam,NULL,NULL
NULL,Clonazepam,NULL,NULL
NULL,Clonidine hydrochloride,NULL,NULL
NULL,Clopyralid,NULL,04091
NULL,Clopyralid,NULL,49305
NULL,Cloud cover,NULL,NULL
NULL,Cloud cover (percent),NULL,00032
NULL,Coal,NULL,82031
NULL,Cobalt,NULL,NULL
NULL,Cobalt,NULL,01035
NULL,Cobalt,NULL,01036
NULL,Cobalt,NULL,01037
NULL,Cobalt,NULL,01038
NULL,Cobalt,NULL,04053
NULL,Cobalt,NULL,34845
NULL,Cobalt,NULL,34847
NULL,Cobalt,NULL,35031
NULL,Cobalt-60,NULL,NULL
NULL,Cocaethylene,NULL,NULL
NULL,Cocaethylene-D3,NULL,NULL
NULL,Cocaine hydrochloride,NULL,NULL
NULL,Cocaine-D3,NULL,NULL
NULL,Codeine,NULL,NULL
NULL,"Coliform/Streptococcus ratio, fecal",NULL,NULL
NULL,Color,NULL,00080
NULL,Conductivity,NULL,NULL
NULL,Conductivity,NULL,"2"""""""
NULL,Conductivity,NULL,"ACT. 83%"""""""
NULL,Conductivity,NULL,cond
NULL,Conductivity,NULL,"COND = 780 US/CM"""""""
NULL,Conductivity,NULL,"pH = 7.95 water chem was not measured where water "
NULL,Copper,NULL,NULL
NULL,Copper,NULL,01040
NULL,Copper,NULL,01041
NULL,Copper,NULL,01042
NULL,Copper,NULL,01043
NULL,Copper,NULL,04054
NULL,Copper,NULL,29832
NULL,Copper,NULL,34850
NULL,Copper,NULL,34852
NULL,"Corrosion & scaling control, Ryznar Stability Index",NULL,NULL
NULL,Cresol,NULL,NULL
NULL,Cumene,NULL,NULL
NULL,Cumene,NULL,62078
NULL,Cumene,NULL,77223
NULL,Cyanazine,NULL,NULL
NULL,Cyanazine,NULL,04041
NULL,Cyanazine,NULL,81757
NULL,Cyanide,NULL,NULL
NULL,Cyanide,NULL,00720
NULL,Cyanide,NULL,00721
NULL,Cyanide,NULL,00723
NULL,cyanides amenable to chlorination (hcn & cn),NULL,NULL
NULL,Cycloate,NULL,04031
NULL,Cycloate,NULL,30254
NULL,Cyclohexane,NULL,NULL
NULL,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-",NULL,62073
NULL,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-",NULL,62819
NULL,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-",NULL,62075
NULL,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-",NULL,62823
NULL,Cyfluthrin,NULL,61585
NULL,Cymene,NULL,NULL
NULL,Cyprazine,NULL,82187
NULL,D9 (+/-)11-nor-9-carboxy-delta-THC,NULL,NULL
NULL,Dalapon,NULL,NULL
NULL,"Dead fish, severity",NULL,01340
NULL,Demeton,NULL,39560
NULL,Density of water at 20 deg C,NULL,71820
NULL,Depth,NULL,NULL
NULL,Depth,NULL,72001
NULL,Depth,NULL,72008
NULL,Depth,NULL,81903
NULL,Depth,NULL,82016
NULL,Depth of pond or reservoir in feet,NULL,72025
NULL,Depth to water level below land surface,NULL,72019
NULL,"Depth, bottom",NULL,NULL
NULL,"Depth, data-logger (non-ported)",NULL,NULL
NULL,"Depth, data-logger (ported)",NULL,NULL
NULL,"Depth, from ground surface to well water level",NULL,NULL
NULL,"Depth, from ground surface to well water level",NULL,30210
NULL,"Depth, Secchi disk depth",NULL,NULL
NULL,"Depth, Secchi disk depth",NULL,"CLEAR TO BOTTOM"""";COMMENT_SECCHI="""" -ATH:Clear to "
NULL,"Depth, snow cover",NULL,82300
NULL,Desipramine,NULL,NULL
NULL,"Detergent, severity",NULL,01305
NULL,Deuterium/Hydrogen ratio,NULL,NULL
NULL,Deuterium/Hydrogen ratio,NULL,82082
NULL,Dextromethorphan hydrobromide,NULL,NULL
NULL,Dextronorgestrel,NULL,NULL
NULL,Di(2-ethylhexyl) adipate,NULL,NULL
NULL,Di(2-ethylhexyl) phthalate,NULL,NULL
NULL,Di(2-ethylhexyl) phthalate,NULL,39100
NULL,Di(2-ethylhexyl) phthalate,NULL,39102
NULL,Di(2-ethylhexyl) phthalate,NULL,49426
NULL,Diazepam,NULL,NULL
NULL,Diazepam-D5,NULL,NULL
NULL,Diazinon,NULL,NULL
NULL,Diazinon,NULL,39570
NULL,Diazinon,NULL,39571
NULL,Diazinon,NULL,39572
NULL,Diazinon,NULL,39573
NULL,Diazinon-D10,NULL,NULL
NULL,"Dibenz[a,h]anthracene",NULL,NULL
NULL,"Dibenz[a,h]anthracene",NULL,34556
NULL,"Dibenz[a,h]anthracene",NULL,34559
NULL,"Dibenz[a,h]anthracene",NULL,49461
NULL,Dibenzofuran,NULL,NULL
NULL,Dibenzothiophene,NULL,49452
NULL,Dibromoacetic acid,NULL,NULL
NULL,Dibromomethane,NULL,NULL
NULL,Dibromomethane,NULL,30217
NULL,Dibutyl phthalate,NULL,NULL
NULL,Dibutyl phthalate,NULL,39110
NULL,Dibutyl phthalate,NULL,39112
NULL,Dibutyl phthalate,NULL,49381
NULL,Dicamba,NULL,NULL
NULL,Dicamba,NULL,38442
NULL,Dicamba,NULL,82052
NULL,Dichlobenil,NULL,49303
NULL,Dichloroacetic acid,NULL,NULL
NULL,Dichlorobiphenyl,NULL,NULL
NULL,Dichlorobromomethane,NULL,NULL
NULL,Dichlorobromomethane,NULL,32101
NULL,Dichloroethylene,NULL,NULL
NULL,Dichlorprop,NULL,NULL
NULL,Dichlorprop,NULL,49302
NULL,Dichlorprop,NULL,82183
NULL,Dichlorprop,NULL,82356
NULL,Dichlorvos,NULL,NULL
NULL,Dichlorvos,NULL,30218
NULL,Dichlorvos,NULL,38775
NULL,Diclofenac,NULL,NULL
NULL,Dicrotophos,NULL,38454
NULL,Dieldrin,NULL,NULL
NULL,Dieldrin,NULL,39380
NULL,Dieldrin,NULL,39381
NULL,Dieldrin,NULL,39382
NULL,Dieldrin,NULL,39383
NULL,Dieldrin,NULL,49331
NULL,Diesel fuel,NULL,NULL
NULL,Diesel range organics,NULL,NULL
NULL,Diethyl phthalate,NULL,NULL
NULL,Diethyl phthalate,NULL,34336
NULL,Diethyl phthalate,NULL,34339
NULL,Diethyl phthalate,NULL,49383
NULL,Diltiazem hydrochloride,NULL,NULL
NULL,Dimerin,NULL,NULL
NULL,Dimethachlor,NULL,NULL
NULL,Dimethachlor ESA,NULL,NULL
NULL,Dimethenamid,NULL,NULL
NULL,Dimethenamid,NULL,61588
NULL,Dimethenamid ESA,NULL,NULL
NULL,Dimethenamid OA,NULL,NULL
NULL,Dimethoate,NULL,82662
NULL,Dimethyl phthalate,NULL,NULL
NULL,Dimethyl phthalate,NULL,34341
NULL,Dimethyl phthalate,NULL,34344
NULL,Dimethyl phthalate,NULL,49384
NULL,Dinitro-o-cresol,NULL,NULL
NULL,Di-n-octyl phthalate,NULL,NULL
NULL,Di-n-octyl phthalate,NULL,34596
NULL,Di-n-octyl phthalate,NULL,34599
NULL,Di-n-octyl phthalate,NULL,49382
NULL,Dinoseb,NULL,NULL
NULL,Dinoseb,NULL,49301
NULL,Diphenamid,NULL,04033
NULL,Diphenamid,NULL,30255
NULL,Diphenhydramine-D3,NULL,NULL
NULL,Diquat dibromide,NULL,NULL
NULL,Dissolved oxygen (DO),NULL,NULL
NULL,Dissolved oxygen (DO),NULL,"Act. 8?.3%"""""""
NULL,Dissolved oxygen (DO),NULL,"elevation 6300 feet. Act. 7?.9. (Center digit not "
NULL,Dissolved oxygen (DO),NULL,"METER WILL NOT CALLIBRATE."""""""
NULL,Dissolved oxygen (DO),NULL,"Theor 75.0%"""""""
NULL,Dissolved oxygen saturation,NULL,NULL
NULL,Disulfoton,NULL,NULL
NULL,Disulfoton,NULL,39011
NULL,Disulfoton,NULL,82677
NULL,Disulfoton sulfone,NULL,NULL
NULL,Disulfoton sulfone,NULL,61640
NULL,Diuron,NULL,NULL
NULL,Diuron,NULL,49300
NULL,Diuron Metabolite,NULL,NULL
NULL,DL-Amphetamine-D5,NULL,NULL
NULL,Dotriacontane,NULL,NULL
NULL,Doxepin,NULL,NULL
NULL,Dysprosium,NULL,NULL
NULL,Dysprosium,NULL,82331
