Param,ParamGroup
"1,1,2-trichloroethane","organics, other"
monochloroacetic acid,NULL
nitrite,nutrient
"trans-1,2-dichloroethylene","organics, other"
combined radium (-226 & -228),NULL
pentachlorophenol,NULL
"trans-1,3-dichloropropene","organics, pesticide"
nitrate,nutrient
o-chlorotoluene,"organics, other"
"1,2-dichloropropane","organics, pesticide"
carbaryl,"organics, pesticide"
hexachlorobutadiene,"organics, other"
dichloromethane,"organics, other"
bromomethane,"organics, pesticide"
magnesium,"inorganics, major, metals"
"cis-1,3-dichloropropene","organics, pesticide"
aroclor 1232,NULL
e. coli,NULL
endothall,"organics, pesticide"
endrin,"organics, pesticide"
gamma-chlordane,NULL
trichlorofluoromethane,"organics, other"
aldicarb sulfoxide,"organics, pesticide"
bromochloromethane,NULL
zinc,"inorganics, minor, metals"
"1,1,1,2-tetrachloroethane",NULL
foaming agents (surfactants),NULL
butachlor,"organics, pesticide"
monobromoacetic acid,NULL
aroclor 1248,NULL
metribuzin,"organics, pesticide"
cyanide,"inorganics, minor, non-metals"
heptachlor epoxide,"organics, pesticide"
n-butylbenzene,"organics, other"
total polychlorinated biphenyls (pcb),"organics, pcbs"
potassium,"inorganics, major, metals"
"1,1,1-trichloroethane","organics, other"
coliform (tcr),NULL
benzene,"organics, other"
isopropylbenzene,"organics, other"
Charge Balance,NULL
trichloroacetic acid,"organics, other"
"1,1-dichloroethane","organics, other"
turbidity,NULL
nitrate-nitrite,nutrient
lasso,"organics, pesticide"
oxamyl,"organics, pesticide"
lead,"inorganics, minor, metals"
heptachlor,"organics, pesticide"
"molybdenum, total","inorganics, minor, metals"
barium,"inorganics, minor, metals"
silver,"inorganics, minor, metals"
"antimony, total","inorganics, minor, non-metals"
chloromethane,"organics, other"
carbon dioxide,"inorganics, major, non-metals"
chloroethane,"organics, other"
dibromoacetic acid,NULL
asbestos,"inorganics, minor, non-metals"
nitrogen-ammonia as (n),nutrient
"alkalinity, carbonate","inorganics, major, non-metals"
"alkalinity, total","inorganics, major, non-metals"
atrazine,"organics, pesticide"
n-propylbenzene,"organics, other"
uv absorbance @254 nm,NULL
Anions Total,NULL
bromobenzene,"organics, other"
selenium,"inorganics, minor, non-metals"
dichloroacetic acid,"organics, other"
conductivity @ 25 c umhos/cm,NULL
"copper, free","inorganics, minor, metals"
"1,1-dichloroethylene","organics, other"
vinyl chloride,"organics, other"
dichlorodifluoromethane,"organics, other"
radon,NULL
diquat,NULL
aroclor 1254,NULL
dibromochloromethane,"organics, other"
"chromium, hex","inorganics, minor, metals"
sec-butylbenzene,"organics, other"
iron,"inorganics, minor, metals"
fluoride,"inorganics, major, non-metals"
"1,3-dichloropropene","organics, pesticide"
calcium,"inorganics, major, metals"
tds,NULL
bhc-gamma,"organics, pesticide"
"1,2,3-trichloropropane","organics, pesticide"
"2,4,5-tp","organics, pesticide"
radium-226,radiochemical
aroclor 1221,NULL
trichlorotrifluoroethane,NULL
p-xylene,"organics, other"
color,NULL
gross beta particle activity,radiochemical
nickel,"inorganics, minor, metals"
picloram,NULL
m-xylene,"organics, other"
langelier index (ph(s)),NULL
"carbon, total","inorganics, major, non-metals"
"beryllium, total","inorganics, minor, metals"
"hardness, total (as caco3)",NULL
benzo(a)pyrene,"organics, other"
trichloroethylene,"organics, other"
tthm,NULL
38-strontium-90,NULL
hexachlorobenzene,"organics, pesticide"
"iron, dissolved","inorganics, minor, metals"
toluene,"organics, other"
simazine,"organics, pesticide"
aldicarb sulfone,"organics, pesticide"
"thallium, total","inorganics, minor, metals"
ethylbenzene,"organics, other"
m-dichlorobenzene,"organics, other"
"2,2-dichloropropane",NULL
"manganese, dissolved","inorganics, minor, metals"
p-chlorotoluene,NULL
toxaphene,"organics, pesticide"
total haloacetic acids (haa5),NULL
dalapon,"organics, pesticide"
sulfate,"inorganics, major, non-metals"
gross alpha particle activity,radiochemical
tetrachloroethylene,"organics, other"
chlordane,NULL
"2,4-d","organics, pesticide"
bicarbonate as hco3,"inorganics, major, non-metals"
mercury,"inorganics, minor, metals"
"gross alpha, excl. radon & u",NULL
uranium-235,NULL
bis(2-ethylhexyl) phthalate,"organics, other"
total kjeldahl nitrogen (in water mg/l),nutrient
cadmium,"inorganics, minor, metals"
aldicarb,"organics, pesticide"
"xylenes, total","organics, other"
dibromomethane,NULL
hexachlorocyclopentadiene,"organics, other"
chloride,"inorganics, major, non-metals"
"dichlorobenzenes, total",NULL
methyl tert-butyl ether,"organics, other"
tert-butylbenzene,"organics, other"
carbon tetrachloride,"organics, other"
"1,3,5-trimethylbenzene","organics, other"
"1,1,2,2-tetrachloroethane","organics, other"
bromodichloromethane,"organics, other"
"boron, total","inorganics, minor, non-metals"
aroclor 1016,NULL
combined uranium,radiochemical
o-dichlorobenzene,"organics, other"
silica,"inorganics, major, non-metals"
bromoform,"organics, other"
chromium,"inorganics, minor, metals"
chlorobenzene,"organics, other"
"vanadium, total","inorganics, minor, metals"
naphthalene,"organics, other"
"1,2-dichloroethane","organics, pesticide"
"1,2,4-trichlorobenzene","organics, other"
chloroform,"organics, other"
arsenic,"inorganics, minor, non-metals"
styrene,"organics, other"
dicamba,"organics, pesticide"
"hardness, carbonate",NULL
"1,1-dichloropropene",NULL
orthophosphate,nutrient
n-nitrosodi-n-propylamine,"organics, other"
p-dichlorobenzene,"organics, pesticide"
carbofuran,"organics, pesticide"
calcium hardness,NULL
metolachlor,"organics, pesticide"
dinoseb,"organics, pesticide"
temperature (centigrade),NULL
sodium,"inorganics, major, metals"
tritium,NULL
"2,3,7,8-tcdd","organics, other"
dieldrin,"organics, pesticide"
p-isopropyltoluene,NULL
"1,2,4-trimethylbenzene","organics, other"
bromide,"inorganics, major, non-metals"
aluminum,"inorganics, minor, metals"
3-hydroxycarbofuran,"organics, pesticide"
di(2-ethylhexyl) phthalate,"organics, other"
manganese,"inorganics, minor, metals"
propachlor,"organics, pesticide"
alpha-chlordane,"organics, pesticide"
"alkalinity, bicarbonate","inorganics, major, non-metals"
"cis-1,2-dichloroethylene","organics, other"
methomyl,"organics, pesticide"
mbas - foaming agents (surfactants),NULL
odor,NULL
"phosphate, total",nutrient
ph,NULL
"1,3-dichloropropane",NULL
radium-228,radiochemical
"alkalinity, caco3 stability","inorganics, major, non-metals"
hydroxide as calcium carbonate,"inorganics, major, non-metals"
"1,2,3-trichlorobenzene",NULL
aroclor 1242,NULL
di(2-ethylhexyl) adipate,"organics, other"
methoxychlor,"organics, pesticide"
aroclor 1260,NULL
Cation Total,NULL
